名称,图标,消耗,value,制作时间,里程碑,prio,isSpecial,效果
绳子,"<i class=""mdi mdi-lasso""></i>","{""植物纤维"":""$100K$""}",10,60,"{""100"":{""类型"":""villageCraft"",""name"":""袋子"",""value"":true},""750"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":40},""4800"":{""类型"":""changeStat"",""name"":""value"",""value"":14},""27000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":30}}",,,
木板,"<i class=""mdi mdi-view-dashboard-variant""></i>","{""木头"":""$250K$""}",22,120,"{""60"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":90},""450"":{""类型"":""villageCraft"",""name"":""橱柜"",""value"":true},""3200"":{""类型"":""changeStat"",""name"":""value"",""value"":30},""16500"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":75}}",,,
砖块,"<i class=""mdi mdi-wall""></i>","{""石头"":""$600K$""}",48,240,"{""40"":{""类型"":""changeStat"",""name"":""value"",""value"":66},""300"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":180},""2000"":{""类型"":""villageCraft"",""name"":""哑铃"",""value"":true},""12000"":{""类型"":""changeStat"",""name"":""value"",""value"":84}}",,,
螺丝,"<i class=""mdi mdi-screw-flat-top""></i>","{""金属"":""$800K$""}",25,120,"{""100"":{""类型"":""changeStat"",""name"":""value"",""value"":34},""550"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":100},""4400"":{""类型"":""villageCraft"",""name"":""剪刀"",""value"":true},""21000"":{""类型"":""changeStat"",""name"":""value"",""value"":44}}",,,
水瓶,"<i class=""mdi mdi-bottle-soda""></i>","{""水"":""$1.5M$""}",15,70,"{""300"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":50},""1700"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":35},""9250"":{""类型"":""villageCraft"",""name"":""草药茶"",""value"":true},""53000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":25}}",,,
鸡尾酒杯,"<i class=""mdi mdi-glass-cocktail""></i>","{""玻璃"":""$2.5M$""}",50,210,"{""45"":{""类型"":""changeStat"",""name"":""value"",""value"":67},""360"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":180},""2500"":{""类型"":""villageCraft"",""name"":""杯子"",""value"":true},""14500"":{""类型"":""changeStat"",""name"":""value"",""value"":86}}",,,
回旋镖,"<i class=""mdi mdi-boomerang""></i>","{""硬木"":""$4M$""}",38,140,"{""45"":{""类型"":""changeStat"",""name"":""value"",""value"":51},""360"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":120},""14500"":{""类型"":""changeStat"",""name"":""value"",""value"":65}}",,,
抛光宝石,"<i class=""mdi mdi-diamond-stone""></i>","{""宝石"":""$6.5M$""}",36,160,"{""55"":{""类型"":""changeStat"",""name"":""value"",""value"":47},""380"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":140},""13500"":{""类型"":""changeStat"",""name"":""value"",""value"":60}}",,,
油灯,"<i class=""mdi mdi-oil-lamp""></i>","{""油"":""$10M$""}",51,270,"{""40"":{""类型"":""changeStat"",""name"":""value"",""value"":65},""330"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":225},""12400"":{""类型"":""changeStat"",""name"":""value"",""value"":82}}",,,
淋浴,"<i class=""mdi mdi-shower""></i>","{""大理石"":""$15M$""}",70,360,"{""40"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":300},""330"":{""类型"":""changeStat"",""name"":""value"",""value"":90},""12400"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":250}}",,,
袋子,"<i class=""mdi mdi-sack""></i>","{""植物纤维"":""$1M$""}",18,90,"{""80"":{""类型"":""changeStat"",""name"":""value"",""value"":26},""600"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":70},""4000"":{""类型"":""changeStat"",""name"":""value"",""value"":35},""22000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":60}}",,,
橱柜,"<i class=""mdi mdi-cupboard""></i>","{""木头"":""$3M$""}",33,150,"{""50"":{""类型"":""changeStat"",""name"":""value"",""value"":42},""400"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":125},""2800"":{""类型"":""changeStat"",""name"":""value"",""value"":52},""15000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":100}}",,,
哑铃,"<i class=""mdi mdi-weight""></i>","{""石头"":""$7M$""}",65,300,"{""50"":{""类型"":""changeStat"",""name"":""value"",""value"":87},""400"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":255},""2800"":{""类型"":""villageCraft"",""name"":""手锯"",""value"":true},""15000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":210}}",,,
剪刀,"<i class=""mdi mdi-content-cut""></i>","{""金属"":""$8M$"",""木头"":""$3M$""}",30,125,"{""55"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":110},""420"":{""类型"":""changeStat"",""name"":""value"",""value"":40},""3100"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":100},""17000"":{""类型"":""changeStat"",""name"":""value"",""value"":50}}",,,
草药茶,"<i class=""mdi mdi-tea""></i>","{""水"":""$12M$"",""植物纤维"":""$5M$""}",54,200,"{""48"":{""类型"":""changeStat"",""name"":""value"",""value"":78},""380"":{""类型"":""changeStat"",""name"":""value"",""value"":106},""2600"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":170},""14000"":{""类型"":""changeStat"",""name"":""value"",""value"":140}}",,,
